id,content,score
78dee2ae-9a82-4688-9bce-5a06c16aab05,I made a tiktok account and made videos but it takes 5 weeks for it to get a single view or a like while I'm busy scrolling there giving people views but they don't give my videos views o likes how coz I'm gonna end up uninstalling it coz I can't take it anymore,1
a0c2f98d-b7eb-4431-a855-1f6eb67844f4,this is such an amazing app .It is so helpful when you are getting bored.,3
722482dd-f0e8-4ca8-9566-b6c54bb5ba33,it hacking and not working frequently on my phone,1
b31bbbfa-4c89-4b07-8ad6-5d3aea75d91e,it's fun and I can learn things,5
d6a94aeb-9d1f-4adf-983d-a1215d86ddc7,"only useful for the Ni-ki thirst trap edits, Stan Enhypen",5
048898ba-f588-4c38-9fd9-e83292661085,"It's GREAT but it's been lagging a lot, it won't even let me play tiktoks, it's like it's paused, and it also won't let me hear the audio the vid is playing. PLS fix this SOon (EDIT) IT'S WORKING AGAIN! I'm guessing it was just a bug, but it's working again, so that's all that matters!!",5
c25571a2-32c0-4f71-96f7-4c1c951f816c,"Hello dear TikTok team Very important Please l need your help because your aooount has mistakenly put my account in the freezeflist. please re_check my account correctly and remove my account from the freezer list because I have not mhe freezer list.Because | have not made any mistake that isagainst TikTok police dut still my account: has been frozen and my views have decreased a lot and I am also working hard on TikTok now to make very good videos constant butt still, my views are much lower",1
55390756-b10e-4316-b493-a459dd06046b,anytime I entered this app is 50/50 it might go back to home screen by it self,3
b879b1c6-c085-4197-9f16-bf9a07522cee,A useless app designed only to waste time and turn people into shallow individuals,1
ea830eeb-0273-400b-a09a-a98ce9925364,yall took me out of tiktok for no reason and I got banned and then give me a damn appeal don't like tiktok and I was talking to my sister on there I don't have a iPhone so good I can't talk to no more not y'all fault though it's ok,5
f66793a1-3da7-4458-8276-a177d7dd9a7b,where did the lock 2x speed feature go !!!!!!!,1
c54620dd-6982-4d95-a758-1ab60c341469,Best application ever,1
1a078e4c-7562-4e49-9acf-f6185883b58e,"Plz,add opacity options in video toolbox for a more immersive experience.",3
1b2e41e7-a9e2-4885-8f46-eb6d2c59fdeb,"It logged me out of my account, even when I had the email and password correct and it doesnt help that my phone number isn't helpful either",1
96748a1d-c5d3-4770-9841-e7d49123537e,its fun and social able but the people who download are either rude kind or in between and some are kids,4
98834c0c-9c94-4a40-8b91-b1215d375f27,I give it 5 but I still don't have the stickers !!!,5
464996cb-ee28-4d4a-ab90-19e307d8f6db,"I love it, only problem is the lag with other devices except apple.",4
713843fb-438c-4b9c-adb6-ee5520f3b5c4,app wont stop freezing and crashing today. I can only make it thru maybe 5 videos then it freezes and says its not responding,2
fbb369f3-e0f7-4252-a7d1-8d568ff65f80,the best reliable app ever to use in your phone,5
e9472ddc-e676-4a97-85e1-5b8274510cc9,absolutely excellence cannot fault this app,5
662430ed-c8d0-433a-935f-9fb68a8e6535,TikTok is teww glitchy nowadays and idk why they added ai to it..,3
